,title,number_of_pages,number_of_downloads,book_url
176,Apprendre à programmer avec Python,Unknown,"9,775",https://www.pdfdrive.com/apprendre-à-programmer-avec-python-e39740728.html
177,CSS - O'Reilly - Cascading Style Sheets The Definitive Guide,564,160,https://www.pdfdrive.com/css-oreilly-cascading-style-sheets-the-definitive-guide-e136946832.html
178,"JavaScript The Definitive Guide, 6th.pdf","1,098","9,684",https://www.pdfdrive.com/javascript-the-definitive-guide-6thpdf-e7628373.html
179,Linux Kernel in a Nutshell (In a Nutshell (O'Reilly)),197,157,https://www.pdfdrive.com/linux-kernel-in-a-nutshell-in-a-nutshell-oreilly-e158998106.html
180,"Exploring Java, 2nd Edition (O'Reilly Java)","1,265",156,https://www.pdfdrive.com/exploring-java-2nd-edition-oreilly-java-e195346089.html
181,C++ Cookbook (Cookbooks (O'Reilly)),640,155,https://www.pdfdrive.com/c-cookbook-cookbooks-oreilly-e159023278.html
182,Linux System Programming,456,"9,498",https://www.pdfdrive.com/linux-system-programming-e18775361.html
183,Python Pocket Reference: Python in Your Pocket (Pocket Reference (O'Reilly)),210,151,https://www.pdfdrive.com/python-pocket-reference-python-in-your-pocket-pocket-reference-oreilly-e185000642.html
184,Introduction to Apache Hadoop - O'Reilly Media - Technology Books,133,168,https://www.pdfdrive.com/introduction-to-apache-hadoop-oreilly-media-technology-books-e666967.html
185,Beautiful Code: Leading Programmers Explain How They Think (Theory in Practice (O'Reilly)),619,148,https://www.pdfdrive.com/beautiful-code-leading-programmers-explain-how-they-think-theory-in-practice-oreilly-e184847909.html
186,Python for Unix and Linux System Administration by O'Reilly,458,152,https://www.pdfdrive.com/python-for-unix-and-linux-system-administration-by-oreilly-e38487028.html
187,O'Reilly Tomcat The Definitive Guide (2nd Editi..,496,147,https://www.pdfdrive.com/oreilly-tomcat-the-definitive-guide-2nd-editi-e42499745.html
188,Joel Grus - Data Science from Scratch First Principles with Python-O’Reilly Media (2019),514,147,https://www.pdfdrive.com/joel-grus-data-science-from-scratch-first-principles-with-python-oreilly-media-2019-e200817303.html
189,OReilly Doing Data Science,405,863,https://www.pdfdrive.com/oreilly-doing-data-science-e51061540.html
190,O'Reilly - Building Secure Servers with Linux.pdf,276,150,https://www.pdfdrive.com/oreilly-building-secure-servers-with-linuxpdf-e41399762.html
191,O'Reilly - Java™ Extreme Programming Cookbook - DBLab,273,215,https://www.pdfdrive.com/oreilly-java-extreme-programming-cookbook-dblab-e9946695.html
192,ActionScript for Flash MX Pocket Reference: Quick Reference for Flash MX Programmers (Pocket Reference (O'Reilly)),145,144,https://www.pdfdrive.com/actionscript-for-flash-mx-pocket-reference-quick-reference-for-flash-mx-programmers-pocket-reference-oreilly-e157363347.html
193,Big data now: Current perspectives from O'Reilly Radar,137,142,https://www.pdfdrive.com/big-data-now-current-perspectives-from-oreilly-radar-e164149035.html
194,Transitions and Animations in CSS,118,"2,270",https://www.pdfdrive.com/transitions-and-animations-in-css-e55977315.html
195,O'Reilly - Apache The Definitive Guide 3rd Edit..,622,144,https://www.pdfdrive.com/oreilly-apache-the-definitive-guide-3rd-edit-e45444160.html
196,"AngularJS Up and Running (O'Reilly, 2014).",301,159,https://www.pdfdrive.com/angularjs-up-and-running-oreilly-2014-e39561019.html
197,"O'Reilly - Head First Servlets and JSP, 2nd Edition",883,135,https://www.pdfdrive.com/oreilly-head-first-servlets-and-jsp-2nd-edition-e45453697.html
198,O'Reilly Writing Excel Macros with VBA,490,138,https://www.pdfdrive.com/oreilly-writing-excel-macros-with-vba-e60654719.html
199,Version Control with Git,454,"8,239",https://www.pdfdrive.com/version-control-with-git-e18853221.html
200,"Java Server Pages, Hans Bergsten, Third Edition, O'Reilly Media December 2003.",746,128,https://www.pdfdrive.com/java-server-pages-hans-bergsten-third-edition-oreilly-media-december-2003-e44323361.html
201,JavaScript: The Good Parts,172,"8,091",https://www.pdfdrive.com/javascript-the-good-parts-e104938681.html
202,O'Reilly - Linux Command Directory.pdf,"1,255",139,https://www.pdfdrive.com/oreilly-linux-command-directorypdf-e38541797.html
203,O'Reilly - Learning the vi and Vim Editors 7th Edition.pdf,494,133,https://www.pdfdrive.com/oreilly-learning-the-vi-and-vim-editors-7th-editionpdf-e42777699.html
204,Network Security,480,"7,780",https://www.pdfdrive.com/network-security-e18892015.html
205,JavaScript: The Good Parts Publisher: O'Reilly - 7chan,370,114,https://www.pdfdrive.com/javascript-the-good-parts-publisher-oreilly-7chan-e17598656.html
206,Introduction to MongoDB - O'Reilly Media,132,207,https://www.pdfdrive.com/introduction-to-mongodb-oreilly-media-e18265996.html
207,O'Reilly - Programming Embedded Systems in C and C++,122,106,https://www.pdfdrive.com/oreilly-programming-embedded-systems-in-c-and-c-e51097556.html
208,"JVM for Dummies - O'Reilly Media - Technology Books, Tech",209,112,https://www.pdfdrive.com/jvm-for-dummies-oreilly-media-technology-books-tech-e6021293.html
209,"O'Reilly - Building Internet Firewalls, 2nd edition",542,138,https://www.pdfdrive.com/oreilly-building-internet-firewalls-2nd-edition-e34656158.html
210,"“Embedded Android”,O'Reilly",133,108,https://www.pdfdrive.com/embedded-androidoreilly-e30941782.html
211,Head First Servlets and JSP,63,"10,642",https://www.pdfdrive.com/head-first-servlets-and-jsp-e5917980.html
212,O'Reilly sed & awk,570,113,https://www.pdfdrive.com/oreilly-sed-awk-e43158697.html
213,O'Reilly ASP In a Nutshell.pdf,426,129,https://www.pdfdrive.com/oreilly-asp-in-a-nutshellpdf-e39911858.html
214,"Java network programming : Includes index. - Previous ed.: Beijing; Sebastopol, Calif.: O'Reilly",762,102,https://www.pdfdrive.com/java-network-programming-includes-index-previous-ed-beijing-sebastopol-calif-oreilly-e184606234.html
215,O'Reilly Knoppix Hacks (2nd Edition).,418,113,https://www.pdfdrive.com/oreilly-knoppix-hacks-2nd-edition-e38104102.html
216,"O'Reilly - Building Internet Firewalls, 2nd edition",542,101,https://www.pdfdrive.com/oreilly-building-internet-firewalls-2nd-edition-e50727266.html
217,O'Reilly C# 3.0 Design Patterns.pdf,314,159,https://www.pdfdrive.com/oreilly-c-30-design-patternspdf-e32914915.html
218,O'Reilly - MySQL Cookbook.pdf,"1,068",276,https://www.pdfdrive.com/oreilly-mysql-cookbookpdf-e11440269.html
219,"Introduction to Django - O'Reilly Media - Technology Books, Tech",84,301,https://www.pdfdrive.com/introduction-to-django-oreilly-media-technology-books-tech-e2475519.html
220,The Art of Project Management (Theory in Practice (O'Reilly)),377,97,https://www.pdfdrive.com/the-art-of-project-management-theory-in-practice-oreilly-e185658404.html
221,"Visualizing Data, Ben Fry (O'Reilly).",384,119,https://www.pdfdrive.com/visualizing-data-ben-fry-oreilly-e34337134.html
222,O'Reilly Learning Python (3rd Edition).pdf,743,101,https://www.pdfdrive.com/oreilly-learning-python-3rd-editionpdf-e40058076.html
223,Web Services Essentials (O'Reilly XML),286,91,https://www.pdfdrive.com/web-services-essentials-oreilly-xml-e185383220.html
224,O'Reilly - Google Hacks.pdf,354,119,https://www.pdfdrive.com/oreilly-google-hackspdf-e33485616.html
225,Python for Unix and Linux System - Welcome to LinuxTone.Org /,458,"6,795",https://www.pdfdrive.com/python-for-unix-and-linux-system-welcome-to-linuxtoneorg-e1628587.html
